127.0.0.1 - - [23/Dec/2020:13:58:16 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:19 +0900] "GET /final/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:19 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:19 +0900] "GET /final/ HTTP/1.1" 200 41616
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:19 +0900] "GET /final/resources/img/bg-img/coffee111.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:19 +0900] "GET /final/resources/js/plugins/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:20 +0900] "GET /final/resources/img/core-img/favicon2.png.jpg HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:20 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:51 +0900] "GET /final/mcategory.json?lcode=28 HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "POST /final/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "GET /final/list?searchType=local&mcode=28710&keyword= HTTP/1.1" 200 57297
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "GET /final/display?fileName=cafeimage/Ganghwa1-1.jpg HTTP/1.1" 500 3854
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "GET /final/display?fileName=cafeimage/Ganghwa2-1.jpg HTTP/1.1" 500 3854
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "GET /final/display?fileName=cafeimage/Ganghwa3-1.jpg HTTP/1.1" 500 3854
0:0:0:0:0:0:0:1 - - [23/Dec/2020:13:58:54 +0900] "GET /final/display?fileName=cafeimage/Ganghwa4-1.jpg HTTP/1.1" 500 3854
