0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/insta5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/insta10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/insta9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:32 +0900] "GET /final/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:32 +0900] "GET /final/resources/fonts/classy.ttf?fftrrv HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:32 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/read?ccode=106752 HTTP/1.1" 200 35877
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/eye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/favorites.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/scope.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/naver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/daum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/display?fileName=cafeimage/8e247d49-a937-4648-80d6-fb7b9192edf6_UserController.JPG HTTP/1.1" 500 3977
